B,P,C,X,N,Time
5,1,1,0,1,10.31
5,1,5,0,1,10.34
5,5,1,0,1,2.13
5,5,5,0,1,2.09
10,1,1,0,1,10.29
10,1,5,0,1,10.32
10,1,10,0,1,10.31
10,5,1,0,1,2.10
10,5,5,0,1,2.10
10,5,10,0,1,2.12
10,10,1,0,1,1.07
10,10,5,0,1,1.09
10,10,10,10,0,1,1.08
5,1,1,200,1,10.48
5,1,5,200,1,10.46
5,5,1,200,1,2.34
5,5,5,200,1,2.34
10,1,1,200,1,10.53
10,1,5,200,1,10.48
10,1,10,200,1,10.50
10,5,1,200,1,10.26
10,5,5,200,1,2.35
10,5,10,200,1,2.34
10,10,1,200,1,10.26
10,10,5,200,1,2.30
10,10,10,200,1,1.31
5,1,1,400,1,20.44
5,1,5,400,1,10.64
5,5,1,400,1,20.44
5,5,5,400,1,4.45
10,1,1,400,1,20.51
10,1,5,400,1,10.7
10,1,10,400,1,10.66
10,5,1,400,1,20.46
10,5,5,400,1,4.44
10,5,10,400,1,2.48
10,10,1,400,1,20.51
10,10,5,400,1,4.46
10,10,10,400,1,2.45s
